Country latitude	longitude	distance_from_france	is_from_france	alim_ssssgrp_nom_fr	alim_ssgrp_nom_fr	alim_grp_nom_fr	Nb_scans	Nb_unique_scans
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	jambons secs et crus	charcuteries et assimilés	viandes, œufs, poissons et assimilés	79	55.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	jus	boissons sans alcool	eaux et autres boissons	13	8.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	laits autres que de vache	laits	produits laitiers et assimilés	112	62.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	laits de vache concentrés ou en poudre	laits	produits laitiers et assimilés	4	3.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	laits de vaches liquides (non concentrés)	laits	produits laitiers et assimilés	34	20.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	liqueurs et alcools	boisson alcoolisées	eaux et autres boissons	4	2.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	légumes crus	légumes	fruits, légumes, légumineuses et oléagineux	433	290.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	légumes et leurs produits de la Martinique	légumes	fruits, légumes, légumineuses et oléagineux	49	34.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	légumes et leurs produits de la Réunion	légumes	fruits, légumes, légumineuses et oléagineux	114	62.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	légumes séchés ou déshydratés	légumes	fruits, légumes, légumineuses et oléagineux	21	13.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	légumineuses fraîches	légumineuses	fruits, légumes, légumineuses et oléagineux	8	7.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	nectars	boissons sans alcool	eaux et autres boissons	7	5.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	omelettes et autres ovoproduits	œufs	viandes, œufs, poissons et assimilés	183	110.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	pains	pains et assimilés	produits céréaliers	294	184.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	plats de céréales/pâtes	plats composés	entrées et plats composés	385	241.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	plats de fromage	plats composés	entrées et plats composés	42	32.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	plats de légumes/légumineuses	plats composés	entrées et plats composés	106	72.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	plats de poisson et féculents	plats composés	entrées et plats composés	13	9.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	plats de poisson sans garniture	plats composés	entrées et plats composés	153	93.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	plats de viande et féculents	plats composés	entrées et plats composés	213	135.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	plats de viande et légumes/légumineuses	plats composés	entrées et plats composés	3	1.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	plats de viande sans garniture	plats composés	entrées et plats composés	17	12.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	plats végétariens	plats composés	entrées et plats composés	16	11.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	porc	viandes cuites	viandes, œufs, poissons et assimilés	1487	996.0
